机构,比较分组,默认保障资料参考分,主榜名次,并列,有加分依据维度数,总维度数,评分说明,口碑提示（不计入分数）,证据截至,模型版本,换人保障得分（满分30）,换人保障档位（0–5）,换人保障依据与缺口,换人保障来源,退出与退费得分（满分20）,退出与退费档位（0–5）,退出与退费依据与缺口,退出与退费来源,人员筛选得分（满分15）,人员筛选档位（0–5）,人员筛选依据与缺口,人员筛选来源,督导与售后得分（满分15）,督导与售后档位（0–5）,督导与售后依据与缺口,督导与售后来源,主体与北京业务得分（满分10）,主体与北京业务档位（0–5）,主体与北京业务依据与缺口,主体与北京业务来源,费用透明度得分（满分10）,费用透明度档位（0–5）,费用透明度依据与缺口,费用透明度来源
找个保姆,北京育儿业务有线索,51,1,否,6,6,网页换人规则和费用结构较细，但推荐候选不等于到岗；法人尚未披露，得分不能代替主体与合同核验。,已找到分方案更换次数、退费门槛和不覆盖情形，信息完整度明显提升；但网站未披露完整法人，且已签约/开始服务后中介费原则不退，需先核合同主体及持续服务费结算。,2026-09-21,1.0,24,4,当前官网常见问题列分套餐次数、适应期和突然离岗例外，通常一至三工作日推荐候选；这是候选时限，尚非保证到岗。,https://zhaogebaomu.com/faq/,8,2,当前常见问题列付款十五工作日未有合条件候选可申请退款，签约服务后原则不退；仍缺持续费结算公式及到账期限。,https://zhaogebaomu.com/faq/,3,1,网站称核照护经历和稳定性、优先持证，并说明并非人人必须持证；具体身份背景、健康和婴儿实操核验流程仍缺。,"https://zhaogebaomu.com/yuersao/
https://zhaogebaomu.com/faq/",6,2,官网说明适应期结束和首周顾问回访，之后按方案跟进；已有责任及时间节点，但异常处理、升级响应和督导记录未核。,"https://zhaogebaomu.com/yuersao/
https://zhaogebaomu.com/faq/",4,2,当前自有业务站明确全北京育儿嫂及联系入口，但未披露完整法人和具体门牌；品牌可归属，合同与收款责任方待核。,"https://zhaogebaomu.com/yuersao/
https://zhaogebaomu.com/faq/",6,3,官网给育儿嫂月薪范围，并区分中介费、持续费与雇主另付工资，说明适应期按天计薪；机构费金额及附加费仍缺。,"https://zhaogebaomu.com/yuersao/
https://zhaogebaomu.com/faq/"
天鹅到家,北京育儿业务有线索,46,2,否,5,6,现有资料对换人次数、筛选及售后说明较多，但替补到岗和退出退费仍缺本单可执行条款。,业务和换人承诺相对清晰，但新旧案例均说明应追问替补实际到岗与退出退费。2024石家庄媒体案例已解决；2025北京小红书单方自述及2026未明城市扣费投诉不能合并为北京投诉率。,2026-09-21,1.0,18,3,官网写服务期内不限次数协调更换，并说明服务类型和费用差价边界；当天首次对接不等于替补到岗，仍缺硬性到岗时限。,https://www.daojia.com/,0,0,已检索退款规则，但未取得北京育儿嫂现行退费公式和连续不适配退出条件；个案扣费争议不能代替当前合同。,,9,3,官网列身份认证、第三方背调、体检及规范考试，流程类别较具体；仍未核拟派阿姨的报告、实操与近期同月龄经历。,https://www.daojia.com/,9,3,官网有经纪人、云管家和专职售后分级处理及保障渠道；仍缺本单责任人、升级时限及保险实际适用范围的核验。,https://www.daojia.com/,8,4,官网运营主体、北京育儿嫂专页及预约联系方式可以对应；实际签约、收款与派工是否由同一主体承担仍须核合同。,"https://www.daojia.com/
https://www.daojia.com/bj/childcare-nanny/",2,1,北京专页仅说明城市、住家或白班、等级和周期等定价变量；未取得工资、机构费、保险及替换价差的完整报价。,https://www.daojia.com/bj/childcare-nanny/
十月阳光,北京育儿业务有线索,41,3,是,4,6,机构官网公布更换次数和时限，并介绍审核与服务群；尚无本单合同及例外说明，退款和完整收费仍缺可核规则。,确实找到比原稿更具体的更换承诺，但来源是品牌营销文章。三类搜索及投诉/社交平台定向补查以企业内容为主，未取得足够可核的近期北京育儿嫂独立服务全过程，不能据宣传给口碑高分。,2026-09-21,1.0,18,3,当前机构官网文章写两小时响应、四天免费更换及服务期一至三次，细节较具体；但例外和本单适用未核，不按完整履约流程计档。,https://www.octsunshine.com/n/con-11675,0,0,已检索换退政策，未取得育儿嫂退款比例、匹配失败退出和到账期限；文章称售后完善不足以形成可执行退款路径。,,9,3,机构官网介绍理论实操考核，当前文章列身份、健康及技能审核，覆盖多类流程；拟派人选记录、发证单位和专项实操仍未核。,"https://www.octsunshine.com/m/gywm.php
https://www.octsunshine.com/n/con-11675",6,2,机构官网当前文章提服务群、记录和更换协调，已有跟进机制说明；具体责任人、入户频次和异常升级程序仍未取得。,https://www.octsunshine.com/n/con-11675,8,4,当前官网育儿嫂入口、北京总部与商标主体能够对应，且有近期业务发布；加盟订单实际签约及总部责任仍须另核。,"https://www.octsunshine.com/m/gywm.php
https://www.octsunshine.com/n/con-11675",0,0,已查官网及当前业务文章，未取得北京育儿嫂工资、介绍费和管理费的适用明细；泛化市场价格不当机构报价。,
爱嘉里家政,北京育儿业务有线索,41,3,是,5,6,公开无限次免费调换及筛选流程较具体，工资周期也可初步比较；完整法人、服务费及取消退款条款的空白仍是关键短板。,可纳入北京育儿嫂候选。公开换人承诺相对具体，是值得索取合同的理由；同时服务费未明、取消天数模板未填写，退费保障不能打高分。搜索中的大量“口碑好”文章是商家推广，未取得可核验独立雇主样本。,2026-09-21,1.0,18,3,已读北京育儿商品明确服务期间无限次免费调换，次数、费用及服务期均可比较；同档差价、推荐到岗期限和连续失配处理仍缺。,https://bj.daoway.cn/detail?CNtag=%E4%BF%9D%E5%A7%86%E6%9C%88%E5%AB%82&detailId=2680766,0,0,取消告知天数仍留模板空白，且只称可能按协议收费，没有正向可退条件或公式；平台通用未服务退款不能替代本单机构费规则。,https://bj.daoway.cn/detail?CNtag=%E4%BF%9D%E5%A7%86%E6%9C%88%E5%AB%82&detailId=2680766,9,3,机构自有商品页列理论实操培训、体检、公安背景核查、征信及保险，覆盖多类筛选；拟派个人报告、授权与保单仍未核验。,https://bj.daoway.cn/detail?CNtag=%E4%BF%9D%E5%A7%86%E6%9C%88%E5%AB%82&detailId=2680766,6,2,商品页提供反馈与客服渠道，结合顾问跟进宣传能定位售后联系职责；回访频次、育儿记录及问题升级时间仍未公开。,"https://bj.daoway.cn/detail?CNtag=%E4%BF%9D%E5%A7%86%E6%9C%88%E5%AB%82&detailId=2680766
https://www.dzwww.com/jixie/597e4e87001273964.html",4,2,机构自有北京育儿商品及咨询入口可归属品牌，但完整法人未披露；推广稿地址电话不足以闭环签约、收款及售后责任，需先核主体。,"https://bj.daoway.cn/detail?CNtag=%E4%BF%9D%E5%A7%86%E6%9C%88%E5%AB%82&detailId=2680766
https://www.dzwww.com/jixie/597e4e87001273964.html",4,2,北京商品列6500元月参考价、26天及按等级定薪，另收服务费和双胎加价；机构费金额、试工及其他附加费仍未明示。,https://bj.daoway.cn/detail?CNtag=%E4%BF%9D%E5%A7%86%E6%9C%88%E5%AB%82&detailId=2680766
唐顿世家,北京育儿业务有线索,39,5,否,5,6,当前官网支持免费更换及筛选流程，细化次数和退费期限却多来自旧资料；续签折扣与退款计算须另核。,小红书站内已读具名材料：作者称唐顿推荐8位，面试2位；一位口述经历与简历不匹配被排除，另一位相对满意。作者认为高端审查培训宣传未在面试中体现明显优势。属于签约前筛选体验，没有记录唐顿实际换人/退款履行。；作者自述两胎月嫂及育儿嫂照护相处满意，育儿嫂与家庭相处融洽、会做饭；正文带唐顿世家标签，回复明确指向唐顿世家家政服务，并报育儿嫂9k。 可见内容未核验订单；退费结果和案例边界见逐条记录。,2026-09-21,1.0,12,2,当前官网明确免费更换，但一年五次来自二〇二二年商家旧帖；现行次数、差价和实际到岗期限仍缺，不采用推广稿时限。,"http://www.tangdunshijia.com/
https://www.beijingbaomu.com/xuqiu/99999984685.html",4,1,官网仅笼统宣称无忧退款，七日无理由退费出自旧商家帖；当期扣费、折扣续约例外和到账期尚未形成清楚退出路径。,"http://www.tangdunshijia.com/
https://www.beijingbaomu.com/xuqiu/99999984685.html",9,3,当前官网列背景调查、体检及技能培训，旧帖另有实操鉴定；按官网流程计档，仍未核候选报告和近期育儿照护经历。,"http://www.tangdunshijia.com/
https://www.beijingbaomu.com/xuqiu/99999984685.html",6,2,官网说明上户管控和全天在线，旧帖补有督导考勤描述；现行顾问责任、回访频次和问题响应期限仍需书面核实。,"http://www.tangdunshijia.com/
https://www.beijingbaomu.com/xuqiu/99999984685.html",8,4,官网能对应北京唐顿世家科技公司、育儿嫂业务、北京门店及联系入口；实际合同收款主体与候选档期尚未核验。,http://www.tangdunshijia.com/,0,0,未取得当前统一育儿嫂费用表；二〇二五年投诉中的中介费是单一订单，不作标准价目，工资及续签附加费仍需列明。,
亿婴宝,北京育儿业务有线索,38,6,是,4,6,官网对筛选、回访及随时更换说明较多，但免费范围和硬性补位期限不明，退款及总费用也仍需合同核实。,小红书站内已读具名材料：作者称接收约20份简历并面试3人，对其中简历一致性、沟通边界与育儿知识提出质疑；一位相对较好，但作者担忧母乳宝宝带睡经验而未定用。未核验简历材料或机构回应，属于具体作者的面试主观判断。 可见内容未核验订单；退费结果和案例边界见逐条记录。,2026-09-21,1.0,12,2,官网育儿嫂页写三方合同、天天试工及不满意随时更换，适用工种明确；但免费次数、同级价差和到岗期限未公开。,http://www.bjyyb.com/infants/,0,0,当前育儿嫂退费公式与连续匹配失败退出条件未取得；二〇二四年月嫂投诉涉及其他工种，不能用于推定本项规则。,,9,3,官网列身份核验、健康审查、岗前培训及周期考试升级，流程较具体；仍缺拟派人选证件、实操和近期经验核验。,http://www.bjyyb.com/infants/,9,3,官网说明全天热线、客服督导定期回访及保险安排；回访频率、问题升级、突发照护处置与具体保单责任仍需核验。,http://www.bjyyb.com/infants/,8,4,官网页脚主体与北京育儿嫂服务入口对应，历年正式名录可交叉识别；名录不证明当前全部阿姨的雇佣关系或档期。,"http://www.bjyyb.com/infants/
https://rsj.beijing.gov.cn/xxgk/tzgg/202302/t20230208_2913405.html
https://sw.beijing.gov.cn/phone/zwxx/tzgg/202401/t20240131_3550205.html",0,0,已查育儿嫂服务页但未取得现行工资和机构收费表；人员等级不能代替服务费、假日、延时及替补价差的分项金额。,
京鋆管家,北京育儿业务有线索,38,6,是,4,6,当前官网对免费更换、人员审核、顾问回访及保险有具体描述；主要缺口是补位时限、退款和完整收费。,小红书站内已读具名材料：作者称阿姨操作辅食机失误造成家人受伤，报中介保险后对免赔额、自付材料费和费用计算存在异议，并不满中介/主管回应。没有原保单、完整理赔决定或机构答辩，不能采信其“吃回扣”等推测为事实。 可见内容未核验订单；退费结果和案例边界见逐条记录。,2026-09-21,1.0,12,2,本轮读到官网服务期内不满免费更换的明确文字，适用于家政服务保障；仍缺次数、同档差价及替补实际到岗期限。,https://www.jingyunhk.cn/,0,0,已查官网和商家资料，未取得首配费、持续服务费及中途解约的退费公式；免费更换不能直接推导换人失败可退。,,9,3,官网列身份验证、征信查询、健康体检、就业培训及持证流程，覆盖多类核验；尚未检查拟派人员报告和技能实操。,https://www.jingyunhk.cn/,9,3,官网有专属顾问定期回访、三方合同及保险安排，责任机制较具体；频次、升级响应和保单适用范围仍未核验。,https://www.jingyunhk.cn/,8,4,官网明确北京京鋆管家科技公司、育婴业务及可归属联系方式；目录地址另有版本，实际接待点和签约主体仍需核实。,"https://www.jingyunhk.cn/
https://www.beijingbaomu.com/user/jingyunghk/",0,0,官网未给可比较的当期北京育儿嫂工资和机构费用明细；人员规模、满意度与保险保额不能替代家庭总费用表。,
无忧保姆／无忧家政,北京育儿业务有线索,37,8,否,5,6,当前免费更换及回访协调有依据，也披露了筛选边界；主要缺口是退款、免费次数和真实替补到岗约束。,官网换人入口可核，且主动披露匹配时间受供需影响；要核空档期如何处理。保留北京房山主体未匹配个案，新增重庆同品牌页案例另标异地，不能据此算北京口碑比例。,2026-09-21,1.0,12,2,当前官网明确免费更换，常见问题说明可随时提出、提前五天更好；五天只是申请建议，仍缺次数、差价和到岗保证。,http://www.51baomu.cn/aboutinfo/changjianwenti.aspx,0,0,已检索并读取常见问题，未取得北京育儿嫂现行退款公式与失败退出条件；异地或泛称无忧的投诉不能补成统一政策。,,6,2,官网列身份证读取、以往表现了解、培训及面试考核，并承认新人背景了解有限；尚缺统一的入户实操与背调证明。,http://www.51baomu.cn/aboutinfo/changjianwenti.aspx,9,3,官网说明电话协调改善、每月评价及经同意联系前雇主，存在具体跟踪机制；但问题升级和替补到岗时限未公开。,http://www.51baomu.cn/aboutinfo/changjianwenti.aspx,8,4,官网主体、北京育儿嫂导航和门店可见，政府名录可交叉对应北京家事无忧；仍未核具体门店收款和实际候选档期。,"http://www.51baomu.cn/aboutinfo/changjianwenti.aspx
https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/t20251103_4250976.html",2,1,常见问题仅说明中介费按城市工种变化、工资可协商；没有北京育儿嫂现行统一金额及试工、保险、换人价差表。,http://www.51baomu.cn/aboutinfo/changjianwenti.aspx
优护佳,北京育儿业务有线索,36,9,否,5,6,官网育婴产品、筛选与售后说明较具体，主要加分来自这些流程；退换仅笼统宣传，时限、退款和费用仍缺。,小红书站内已读具名材料：作者比较多家机构后，在12月6日回复中称最终选优护佳；12月9日称体验不佳，但未给出可复核的具体服务事实；12月14日称仍等下一位阿姨。02-17回复称老人继续在场照看，因为不放心完全交给阿姨。 可见内容未核验订单；退费结果和案例边界见逐条记录。,2026-09-21,1.0,6,1,官网核心优势仅写退换安心，未明确免费范围、次数、同价位候选和到岗时限；历史等待替换经历不是现行保证。,https://www.yhjcare.com/index/core.html,4,1,官网退换安心是笼统承诺，未提供北京育婴终约条件、扣费公式及到账期限；不能据宣传理解为无条件退款。,https://www.yhjcare.com/index/core.html,9,3,官网列背调、体检和全链路培训等至少三类流程，仍缺拟派人选记录；0至3月专护师联合考核不套用全部育婴师。,https://www.yhjcare.com/index/core.html,9,3,育婴产品有专属群护士客服及早教指导，官网另列回访、质控和服务评估；未核本单权益、响应时限和履约记录。,"https://www.yhjcare.com/index/product/product_2.html
https://www.yhjcare.com/index/core.html",8,4,当前官网明确北京网点及3至36月龄育婴产品，关于页可定位北京优护佳主体；新旧地址有差异，本单合同仍待核。,"https://www.yhjcare.com/
https://www.yhjcare.com/index/about
https://www.yhjcare.com/index/product/product_2.html",0,0,官网育婴产品没有北京工资、机构费或保险费明细，查后也未取得完整报价；异地同业价格不作本家收费依据。,https://www.yhjcare.com/index/product/product_2.html
阿姨来了,北京育儿业务有线索,34,10,否,5,6,北京业务及经纪人服务较明确，换人有入口，但七天试用适用性与育儿嫂专门退款规则仍须补齐。,品牌与培训资源可核，但退款条款不能凭7天试用推导。应拿育儿嫂专用合同核对是否覆盖通用协议中的“不退”原则；保留已核退款成功和换人争议两类样本。,2026-09-21,1.0,12,2,当前官网常见问题明确经纪人负责后续换人与解约；七天试用沿用旧核记录，本轮未重新命中，免费范围和到岗期仍缺。,"https://www.ayilaile.com/help/faq
https://www.ayilaile.com/service/",0,0,已读通用互联网用户协议，但其原则不退、另约除外不能代替育儿嫂订单规则；尚缺适用本工种的扣费和退款路径。,https://ayilaile.com/help/agreement,6,2,官网说明可看简历并在面试中展示健康证与育婴师证，形成两类检查线索；尚未核证件真伪、技能实操及前雇主经历。,https://www.ayilaile.com/help/faq,6,2,官网列经纪人的匹配、三方签约、矛盾调解及换人解约职责；尚无育儿嫂督导频次和售后响应、升级时限。,https://www.ayilaile.com/help/faq,8,4,官网北京服务、用户协议关联公司与政府品牌介绍能交叉定位；实际订单由哪家关联公司签约收款仍需逐单核验。,"https://chinajob.mohrss.gov.cn/h5/c/2025-12-15/470678.shtml
https://www.ayilaile.com/help/faq
https://ayilaile.com/help/agreement",2,1,官网检索正文有北京工资七千元起的线索，但本轮未完整核明报价口径；工作日、带睡和服务费均未形成全包费用表。,https://www.ayilaile.com/help/faq
